ID,Label
1,Wii Sports
2,Super Mario Bros.
3,Mario Kart Wii
4,Wii Sports Resort
5,Pokemon Red/Pokemon Blue
6,Tetris
7,New Super Mario Bros.
8,Wii Play
9,New Super Mario Bros. Wii
10,Duck Hunt
11,Nintendogs
12,Mario Kart DS
13,Pokemon Gold/Pokemon Silver
14,Wii Fit
15,Wii Fit Plus
16,Kinect Adventures!
17,Grand Theft Auto V
18,Grand Theft Auto: San Andreas
19,Super Mario World
20,Brain Age: Train Your Brain in Minutes a Day
21,Pokemon Diamond/Pokemon Pearl
22,Super Mario Land
23,Super Mario Bros. 3
24,Grand Theft Auto V
25,Grand Theft Auto: Vice City
26,Pokemon Ruby/Pokemon Sapphire
27,Pokemon Black/Pokemon White
28,Brain Age 2: More Training in Minutes a Day
29,Gran Turismo 3: A-Spec
30,Call of Duty: Modern Warfare 3
31,Pokémon Yellow: Special Pikachu Edition
32,Call of Duty: Black Ops
33,Pokemon X/Pokemon Y
34,Call of Duty: Black Ops 3
35,Call of Duty: Black Ops II
36,Call of Duty: Black Ops II
37,Call of Duty: Modern Warfare 2
38,Call of Duty: Modern Warfare 3
39,Grand Theft Auto III
40,Super Smash Bros. Brawl
41,Call of Duty: Black Ops
42,Animal Crossing: Wild World
43,Mario Kart 7
44,Halo 3
45,Grand Theft Auto V
46,Pokemon HeartGold/Pokemon SoulSilver
47,Super Mario 64
48,Gran Turismo 4
49,Super Mario Galaxy
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire
51,Super Mario Land 2: 6 Golden Coins
52,Grand Theft Auto IV
53,Gran Turismo
54,Super Mario 3D Land
55,Gran Turismo 5
56,Call of Duty: Modern Warfare 2
57,Grand Theft Auto IV
58,Super Mario All-Stars
59,Pokemon FireRed/Pokemon LeafGreen
60,Super Mario 64
61,Just Dance 3
62,Call of Duty: Ghosts
63,Halo: Reach
64,Mario Kart 64
65,New Super Mario Bros. 2
66,Halo 4
67,Final Fantasy VII
68,Call of Duty: Ghosts
69,Just Dance 2
70,Gran Turismo 2
71,Call of Duty 4: Modern Warfare
72,Donkey Kong Country
73,Minecraft
74,Animal Crossing: New Leaf
75,Mario Party DS
76,The Elder Scrolls V: Skyrim
77,Super Mario Kart
78,FIFA 16
79,Wii Party
80,Halo 2
81,Mario Party 8
82,Pokemon Black 2/Pokemon White 2
83,FIFA Soccer 13
84,The Sims 3
85,GoldenEye 007
86,Mario & Sonic at the Olympic Games
87,Final Fantasy X
88,Final Fantasy VIII
89,Pokémon Platinum Version
90,Pac-Man
91,Grand Theft Auto: Liberty City Stories
92,Super Mario Galaxy 2
93,Star Wars Battlefront (2015)
94,Call of Duty: Advanced Warfare
95,The Legend of Zelda: Ocarina of Time
96,Crash Bandicoot 2: Cortex Strikes Back
97,Super Mario Bros. 2
98,Super Smash Bros. for Wii U and 3DS
99,Call of Duty: World at War
100,Battlefield 3
101,The Legend of Zelda: Twilight Princess
102,Call of Duty: Black Ops 3
103,Just Dance
104,Battlefield 3
105,Need for Speed Underground
106,Tekken 3
107,Crash Bandicoot 3: Warped
108,Super Smash Bros. Melee
109,Mario Kart 8
110,Fallout 4
111,Mario Kart: Double Dash!!
112,Just Dance 4
113,FIFA 14
114,Need for Speed Underground 2
115,Medal of Honor: Frontline
